,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BEREA(~1,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,15,08:27,,,,,"TURNOVER  by JUDY,MICHELE",,,"TURNOVER  by JUDY,MICHELE",1,turnover,,Centre,michele judy,,507
16,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,16,08:08,"MISS LAYUP by WILLIAMS,ADRIANA",,,,,,,"MISS LAYUP by WILLIAMS,ADRIANA",1,layup,missed,berea,adriana williams,,488
17,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,17,08:08,,,,,"BLOCK  by MCKNIGHT,KAITLYN",,,"BLOCK  by MCKNIGHT,KAITLYN",1,block,,Centre,kaitlyn mcknight,,488
18,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,18,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
19,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,19,08:02,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,482
20,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,20,07:45,"TURNOVER  by WILLIAMS,ADRIANA",,,,,,,"TURNOVER  by WILLIAMS,ADRIANA",1,turnover,,berea,adriana williams,,465
21,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,21,07:33,,,,,"TURNOVER  by MOORE,KATIE",,,"TURNOVER  by MOORE,KATIE",1,turnover,,Centre,katie moore,,453
22,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,22,07:31,"STEAL  by WILLIAMS,BETHANIE",,,,,,,"STEAL  by WILLIAMS,BETHANIE",1,steal,,berea,,,451
23,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,23,07:28,,,,,"FOUL  by MCKNIGHT,KAITLYN",,,"FOUL  by MCKNIGHT,KAITLYN",1,foul,,Centre,kaitlyn mcknight,,448
24,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,24,07:28,"GOOD FT by TIPPITT,KELSEY",3,,3,,BEREA(~1 3-3 (0),,"GOOD FT by TIPPITT,KELSEY",1,free throw,good,berea,kelsey tippitt,1,448
