,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,SUWB14,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,17,17:39,"BLOCK  by JUDY,MICHELE",,,,,,,"BLOCK  by JUDY,MICHELE",1,block,,Centre,michele judy,,1059
18,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,18,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
19,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,19,17:32,,,,,"MISS 3PTR by ASH,KALLIE",,,"MISS 3PTR by ASH,KALLIE",1,three pointer,missed,spalding,kallie ash,,1052
20,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,20,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
21,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,21,17:08,,5 (+1),,4,"GOOD LAYUP by GUY,JESSICA(in the paint)",SUWB14 5-4 (+1),,"GOOD LAYUP by GUY,JESSICA(in the paint)",1,layup,good,spalding,jessica guy,2,1028
22,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,22,16:55,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",7 (+3),,4,,CENTRE_W 7-4 (+3),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,1015
23,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,23,16:47,,,,,"MISS LAYUP by ASH,KALLIE",,,"MISS LAYUP by ASH,KALLIE",1,layup,missed,spalding,kallie ash,,1007
24,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,24,16:47,"BLOCK  by JUDY,MICHELE",,,,,,,"BLOCK  by JUDY,MICHELE",1,block,,Centre,michele judy,,1007
25,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,25,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
26,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,26,16:47,,,,,"SUB IN by HARDIN,MAYA",,,"SUB IN by HARDIN,MAYA",1,subbing in,,spalding,maya hardin,,1007
27,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,27,16:47,,,,,"SUB OUT by WASHLE,HANNAH",,,"SUB OUT by WASHLE,HANNAH",1,subbing out,,spalding,hannah washle,,1007
28,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,28,16:30,,7 (+1),,6,"GOOD LAYUP by HARDIN,MAYA(in the paint)",SUWB14 7-6 (+1),,"GOOD LAYUP by HARDIN,MAYA(in the paint)",1,layup,good,spalding,maya hardin,2,990
29,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,29,--,,,,,"ASSIST  by GUY,JESSICA",,,"ASSIST  by GUY,JESSICA",1,assist,,spalding,jessica guy,,
30,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,30,16:16,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,976
31,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,31,16:16,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,976
32,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,32,16:16,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,976
33,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,33,16:16,"SUB OUT by COLLIVER,OLIVIA",,,,,,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,976
